"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
107,"NCT02394769","ASPirin Intervention for the REDuction of Colorectal Cancer Risk","Enrolling by invitation","No Results Available","Colorectal Cancer","Drug: Aspirin|Drug: Placebo for Aspirin","Massachusetts General Hospital|National Cancer Institute (NCI)","Both","18 Years to 80 Years   (Adult, Senior)","","180","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Prevention","14-496|R01CA137178","March 16, 2015","June 2015","July 2028","March 14, 2016","March 2016","No Study Results Posted","ASPIRED","September 2018","Urinary prostaglandin metabolites (PGE-M).|Plasma macrophage inhibitory cytokine-1 (MIC-1), an inflammatory biomarker|Chromatin binding|Expression of Wnt-associated signaling genes (CTNNB1, AXIN2 and MYC)|Spectral Biomarkers of Colorectal Cancer","https://ClinicalTrials.gov/show/NCT02394769"
108,"NCT01969591","Fast Track Laparoscopic Surgery: A Better Option for Treating Colorectal Cancer Than Conventional Laparoscopic Surgery","Completed","No Results Available","Colorectal Cancer","Procedure: fast-track surgery|Other: conventional postoperative surgery","Quan Wang|First Hospital of Jilin University","Both","up to 75 Years   (Child, Adult, Senior)","","70","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)|Primary Purpose: Supportive Care","2013-171","October 8, 2013","January 2011","September 2013","October 21, 2013","October 2013","No Study Results Posted","FTS","July 2012","Length of hospital stay|Postoperative days|First flatus time|First defecation time|solid diet time|Analgesics|CRP (mg/L)|Complications:anastomotic leakage,intestinal obstruction,wound infection","https://ClinicalTrials.gov/show/NCT01969591"
109,"NCT00230399","Combination Chemotherapy Treatments in Patients With Metastatic Colorectal Cancer","Completed","No Results Available","Colorectal Cancer","Drug: Celecoxib|Drug: Capecitabine|Drug: Irinotecan","University of Michigan Cancer Center","Both","18 Years and older   (Adult, Senior)","Phase 2","15","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","UMCC 3-24","September 9, 2005","June 2003","March 2008","April 20, 2015","April 2015","No Study Results Posted","null","January 2006","To determine the objective response rate to the combination of celecoxib, capecitabine, and irinotecan in patients with metastatic colorectal cancer.|To evaluate the time to progression of metastatic colorectal cancer after treatment with celecoxib, capecitabine, and irinotecan.","https://ClinicalTrials.gov/show/NCT00230399"
110,"NCT00503737","Pilot Study of the National Colorectal Cancer Roundtable Toolbox (NCCRT) to Increase Colorectal Cancer Screening Rates","Not yet recruiting","No Results Available","Colorectal Cancer Screening","Behavioral: National Colorectal Cancer Roundtable Toolbox","Penn State University","Both","30 Years and older   (Adult, Senior)","","15","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Screening","25737","July 17, 2007","September 2007","September 2010","November 2, 2007","July 2007","No Study Results Posted","null","null","Increase the knowledge of providers as it pertains to current guidelines and strategies about CRCS; assist offices design a CRCS policy, assist offices adopt a CRC reminder system and increase the screening rates of CRC.|synthesize information about the strengths and weaknesses of the toolbox from the primary care physician's (PCP) point of view to aid in future development of an interactive, web-based version of the Toolbox.","https://ClinicalTrials.gov/show/NCT00503737"
111,"NCT02162563","Treatment Strategies in Colorectal Cancer Patients With Initially Unresectable Liver-only Metastases","Recruiting","No Results Available","Colorectal Cancer|Liver Metastases","Drug: FOLFOX/ FOLFIRI with bevacizumab|Drug: FOLFOXIRI with bevacizumab|Drug: FOLFOX/ FOLFIRI with panitumumab","Dutch Colorectal Cancer Group","Both","18 Years and older   (Adult, Senior)","Phase 3","640","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CAIRO5|2013-005435-24","June 5, 2014","July 2014","July 2025","August 15, 2016","August 2016","No Study Results Posted","CAIRO5","July 2020","Progression-free survival (PFS)|R0/1 secondary resection rate|Median overall survival|Response rate|Toxicity (AE)|Pathological complete response rate (pCR)|Postoperative morbidity|Correlation of evaluation by the panel with outcome","https://ClinicalTrials.gov/show/NCT02162563"
112,"NCT01595256","Exploration the Effect of Walking Program in Patients With Colorectal Cancer","Completed","No Results Available","Colorectal Cancer","Behavioral: muscular strength","National Taiwan University Hospital|National Science Council, Taiwan","Both","18 Years to 65 Years   (Adult)","","237","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Screening","201109041RB","April 4, 2012","October 2011","February 2013","October 13, 2014","October 2014","No Study Results Posted","null","February 2013","Exploration the Effect of Walking Program in Patients With Colorectal Cancer.","https://ClinicalTrials.gov/show/NCT01595256"
113,"NCT01239082","Colonoscopy Versus Fecal Immunochemical Test in Reducing Mortality From Colorectal Cancer (CONFIRM)","Recruiting","No Results Available","Colorectal Cancer","Procedure: Colonoscopy|Procedure: FIT","VA Office of Research and Development","Both","50 Years to 75 Years   (Adult, Senior)","","50000","U.S. Fed","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Diagnostic","577","November 9, 2010","April 2012","September 2027","August 25, 2016","August 2016","No Study Results Posted","CONFIRM","September 2027","The primary outcome is colorectal cancer mortality.","https://ClinicalTrials.gov/show/NCT01239082"
114,"NCT01075633","Colorectal Cancer Screening in Familiar-Risk Population: Immunochemical Fecal Occult Blood Testing Versus Colonoscopy","Completed","No Results Available","Colorectal Cancer","Procedure: Immunochemical fecal occult blood test And colonoscopy if test is positive|Procedure: Colonoscopy with sedation","Enrique Quintero|Fundación Canaria Rafael Clavijo para la Investigación Biomédica","Both","40 Years to 75 Years   (Adult, Senior)","Phase 3","1501","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","COLONFAM","February 24, 2010","January 2006","June 2013","January 7, 2014","January 2014","No Study Results Posted","COLONFAM","December 2011","Advanced colorectal neoplasm detection rate [Time Frame: 2 years] [Designated as safety issue: No]|Complications rate","https://ClinicalTrials.gov/show/NCT01075633"
115,"NCT02191969","Physical Activity Intervention for Older Patients During Chemotherapy for Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer|Fatigue","Behavioral: Walk With Ease","UNC Lineberger Comprehensive Cancer Center|LCCC Geriatric Oncology Program","Both","60 Years and older   (Adult, Senior)","","40","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Supportive Care","LCCC1324","June 17, 2014","June 2014","June 2017","July 17, 2016","July 2016","No Study Results Posted","null","June 2017","To measure the change in fatigue after three months between the intervention and control arm|To measure changes in physical function at baseline between the intervention and control groups.|To measure adherence to the physical activity intervention|To measure the difference in p16INK4a levels before and after chemotherapy in the control and intervention groups|To measure the change in muscle mass measurements before and after chemotherapy between the intervention and control arms|To measure the association of p16INK4a and muscle mass with any differences in fatigue o physical function or QOL during chemotherapy|To measure changes in Quality of Life at baseline between the intervention and control groups.|To measure changes in ADLs at baseline between the intervention and control groups.|To measure changes in Instrumental Activities of Daily Living at baseline between the intervention and control groups.|To measure changes in Self-Efficacy at baseline between the intervention and control groups.","https://ClinicalTrials.gov/show/NCT02191969"
116,"NCT01793207","Peripheral Blood DNA Methylation Markers for the Early Detection of Colorectal Carcinoma in the Egyptian Population","Completed","No Results Available","Colorectal Neoplasms|Adenoma|Colorectal Tumors","","Cairo University|National Cancer Institute (NCI)|science and technology development fund, Egypt","Both","18 Years to 85 Years   (Adult, Senior)","","316","Other|NIH","Observational","Observational Model: Case Control|Time Perspective: Prospective","CRCS001|3023","February 13, 2013","December 2012","March 2015","May 4, 2015","May 2015","No Study Results Posted","null","March 2015","Methylation markers present in peripheral blood of patients with colorectal cancer(Sept 9, CDKN2B-p15, CDH4, SFRP2, ALX4, Neurog1 and CDH13)in comparison to their presence in other subjects|Methylation markers present in peripheral blood of patients with colorectal adenomas (Sept 9, CDKN2B-p15, CDH4, SFRP2, ALX4, Neurog1 and CDH13)in comparison to their presence in other subjects|Methylation markers present in peripheral blood of patients with hyperplastic polyps(Sept 9, CDKN2B-p15, CDH4, SFRP2, ALX4, Neurog1 and CDH13)in comparison to their presence in other subjects","https://ClinicalTrials.gov/show/NCT01793207"
117,"NCT00459901","Study of the Antitumor Activity of Capecitabine in Combination With Erlotinib in Patients With Metastatic Colorectal Cancer","Terminated","No Results Available","Metastatic Colorectal Cancer","Drug: Erlotinib and capecitabine","Peter Kozuch|Hoffmann-La Roche|Genentech, Inc.|Beth Israel Medical Center","Both","18 Years and older   (Adult, Senior)","Phase 2","13","Other|Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","022-03|XEL308","April 11, 2007","June 2004","June 2005","April 28, 2015","April 2015","No Study Results Posted","null","June 2005","To document the antitumor activity of capecitabine in combination with erlotinib in patients with previously untreated metastatic colorectal cancer|To determine the qualitative and quantitative toxicity of this combination and sequence of drug administration","https://ClinicalTrials.gov/show/NCT00459901"
118,"NCT00159445","Capecitabine and Gemcitabine in Patients With Metastatic Colorectal Cancer","Completed","No Results Available","Colorectal Cancer|Colon Cancer","Drug: gemcitabine, capecitabine","University of Southern California|Eli Lilly and Company","Both","18 Years and older   (Adult, Senior)","Phase 2","53","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","3C-03-12","September 7, 2005","March 2004","November 2007","May 20, 2014","May 2014","No Study Results Posted","null","March 2007","To assess time to progression in patients with metastatic colorectal cancer treated with a combination of gemcitabine and capecitabine after progressing on two or more therapies for advanced disease, and having failed both CPT-11 and Oxaliplatin bas|To assess the response rate and survival in patients with metastatic colorectal cancer treated with a combination of gemcitabine and capecitabine after progressing on two or more therapies for advanced disease. To assess the toxicity of this regimen.|To assess whether polymorphisms of thegenes involved in the 5-FU metabolic pathway are associated with efficacy of chemotherapy and toxicity.|To test the hypothesis that increased gene expression levels predict chemoresistance to capecitabine.","https://ClinicalTrials.gov/show/NCT00159445"
